NTACode,Borough,Growth Factor,NTA Name,Population - 2010,Population - 2011,Population - 2012,Population - 2013,Population - 2014,Population - 2015,Population - 2016,Population - 2017,Population - 2018,Population - 2019,Population - 2020
BK75,Brooklyn,0.037,Bedford,59227,61418.0,63691.0,66047.0,68491.0,71025.0,73653.0,76378.0,79204.0,82135.0,85174.0
BK76,Brooklyn,0.037,Greenpoint,37821,39220.0,40672.0,42176.0,43737.0,45355.0,47033.0,48774.0,50578.0,52450.0,54390.0
BK77,Brooklyn,0.037,Bushwick North,56093,58168.0,60321.0,62553.0,64867.0,67267.0,69756.0,72337.0,75013.0,77789.0,80667.0
BK78,Brooklyn,0.037,Bushwick South,64617,67008.0,69487.0,72058.0,74724.0,77489.0,80356.0,83329.0,86413.0,89610.0,92925.0
BK79,Brooklyn,0.037,Ocean Hill,30067,31179.0,32333.0,33529.0,34770.0,36057.0,37391.0,38774.0,40209.0,41696.0,43239.0
BK81,Brooklyn,0.037,Brownsville,59099,61286.0,63553.0,65905.0,68343.0,70872.0,73494.0,76213.0,79033.0,81958.0,84990.0
BK82,Brooklyn,0.037,East New York,83275,86356.0,89551.0,92865.0,96301.0,99864.0,103559.0,107391.0,111364.0,115484.0,119757.0
BK83,Brooklyn,0.037,Cypress Hills-City Line,48961,50773.0,52651.0,54599.0,56619.0,58714.0,60887.0,63140.0,65476.0,67898.0,70411.0
BK85,Brooklyn,0.037,East New York (Pennsylvania Ave),27624,28646.0,29706.0,30805.0,31945.0,33127.0,34353.0,35624.0,36942.0,38309.0,39726.0
BK88,Brooklyn,0.037,Borough Park,101055,104794.0,108671.0,112692.0,116862.0,121186.0,125670.0,130319.0,135141.0,140141.0,145327.0
BK90,Brooklyn,0.037,East Williamsburg,31878,33057.0,34281.0,35549.0,36864.0,38228.0,39643.0,41110.0,42631.0,44208.0,45844.0
BK91,Brooklyn,0.037,East Flatbush-Farragut,56033,58106.0,60256.0,62486.0,64798.0,67195.0,69681.0,72260.0,74933.0,77706.0,80581.0
BK93,Brooklyn,0.037,Starrett City,14621,15162.0,15723.0,16305.0,16908.0,17534.0,18182.0,18855.0,19553.0,20276.0,21026.0
BK95,Brooklyn,0.037,Erasmus,31392,32554.0,33758.0,35007.0,36302.0,37645.0,39038.0,40483.0,41981.0,43534.0,45145.0
BK96,Brooklyn,0.037,Rugby-Remsen Village,57934,60078.0,62300.0,64606.0,66996.0,69475.0,72045.0,74711.0,77475.0,80342.0,83315.0
BK99,Brooklyn,0.037,park-cemetery-etc-Brooklyn,93,96.0,100.0,104.0,108.0,112.0,116.0,120.0,124.0,129.0,134.0
MN01,Manhattan,0.033,Marble Hill-Inwood,49087,50707.0,52380.0,54109.0,55894.0,57739.0,59644.0,61612.0,63646.0,65746.0,67916.0
MN03,Manhattan,0.033,Central Harlem North-Polo Grounds,70016,72327.0,74713.0,77179.0,79726.0,82357.0,85074.0,87882.0,90782.0,93778.0,96873.0
MN04,Manhattan,0.033,Hamilton Heights,50555,52223.0,53947.0,55727.0,57566.0,59466.0,61428.0,63455.0,65549.0,67712.0,69947.0
MN06,Manhattan,0.033,Manhattanville,24772,25589.0,26434.0,27306.0,28207.0,29138.0,30100.0,31093.0,32119.0,33179.0,34274.0
MN09,Manhattan,0.033,Morningside Heights,54208,55997.0,57845.0,59754.0,61726.0,63762.0,65867.0,68040.0,70286.0,72605.0,75001.0
MN11,Manhattan,0.033,Central Harlem South,39075,40364.0,41697.0,43072.0,44494.0,45962.0,47479.0,49046.0,50664.0,52336.0,54063.0
MN12,Manhattan,0.033,Upper West Side,136954,141473.0,146142.0,150965.0,155947.0,161093.0,166409.0,171900.0,177573.0,183433.0,189486.0
MN13,Manhattan,0.033,Hudson Yards-Chelsea-Flat Iron-Union Square,55839,57682.0,59585.0,61551.0,63583.0,65681.0,67848.0,70087.0,72400.0,74789.0,77258.0
MN14,Manhattan,0.033,Lincoln Square,55239,57062.0,58945.0,60890.0,62899.0,64975.0,67119.0,69334.0,71622.0,73986.0,76427.0
MN15,Manhattan,0.033,Clinton,40595,41935.0,43318.0,44748.0,46225.0,47750.0,49326.0,50954.0,52635.0,54372.0,56166.0
MN17,Manhattan,0.033,Midtown-Midtown South,25807,26659.0,27538.0,28447.0,29386.0,30356.0,31357.0,32392.0,33461.0,34565.0,35706.0
MN19,Manhattan,0.033,Turtle Bay-East Midtown,49737,51378.0,53074.0,54825.0,56634.0,58503.0,60434.0,62428.0,64488.0,66617.0,68815.0
MN20,Manhattan,0.033,Murray Hill-Kips Bay,48419,50017.0,51667.0,53372.0,55134.0,56953.0,58833.0,60774.0,62780.0,64851.0,66991.0
MN21,Manhattan,0.033,Gramercy,26184,27048.0,27941.0,28863.0,29815.0,30799.0,31815.0,32865.0,33950.0,35070.0,36228.0
MN22,Manhattan,0.033,East Village,41746,43124.0,44547.0,46017.0,47535.0,49104.0,50724.0,52398.0,54127.0,55914.0,57759.0
MN23,Manhattan,0.033,West Village,68483,70743.0,73077.0,75489.0,77980.0,80553.0,83212.0,85958.0,88794.0,91725.0,94751.0
MN24,Manhattan,0.033,SoHo-TriBeCa-Civic Center-Little Italy,36757,37970.0,39223.0,40517.0,41854.0,43236.0,44662.0,46136.0,47659.0,49231.0,50856.0
MN25,Manhattan,0.033,Battery Park City-Lower Manhattan,20088,20751.0,21436.0,22143.0,22874.0,23629.0,24408.0,25214.0,26046.0,26905.0,27793.0
MN27,Manhattan,0.033,Chinatown,52375,54103.0,55889.0,57733.0,59638.0,61606.0,63639.0,65739.0,67909.0,70150.0,72465.0
MN28,Manhattan,0.033,Lower East Side,72258,74643.0,77106.0,79650.0,82279.0,84994.0,87799.0,90696.0,93689.0,96781.0,99974.0
MN31,Manhattan,0.033,Lenox Hill-Roosevelt Island,76631,79160.0,81772.0,84471.0,87258.0,90138.0,93112.0,96185.0,99359.0,102638.0,106025.0
MN32,Manhattan,0.033,Yorkville,76768,79301.0,81918.0,84622.0,87414.0,90299.0,93279.0,96357.0,99537.0,102821.0,106214.0
MN33,Manhattan,0.033,East Harlem South,56899,58777.0,60716.0,62720.0,64790.0,66928.0,69136.0,71418.0,73775.0,76209.0,78724.0
MN34,Manhattan,0.033,East Harlem North,57148,59034.0,60982.0,62994.0,65073.0,67221.0,69439.0,71730.0,74098.0,76543.0,79069.0
MN35,Manhattan,0.033,Washington Heights North,73457,75881.0,78385.0,80972.0,83644.0,86404.0,89256.0,92201.0,95244.0,98387.0,101633.0
MN36,Manhattan,0.033,Washington Heights South,93671,96762.0,99955.0,103254.0,106661.0,110181.0,113817.0,117573.0,121453.0,125461.0,129601.0
MN40,Manhattan,0.033,Upper East Side-Carnegie Hill,63664,65765.0,67935.0,70177.0,72493.0,74885.0,77356.0,79909.0,82546.0,85270.0,88084.0
MN50,Manhattan,0.033,Stuyvesant Town-Cooper Village,19101,19731.0,20382.0,21055.0,21750.0,22468.0,23209.0,23975.0,24766.0,25583.0,26428.0
MN99,Manhattan,0.033,park-cemetery-etc-Manhattan,1662,1717.0,1774.0,1832.0,1892.0,1955.0,2019.0,2086.0,2155.0,2226.0,2300.0
QN01,Queens,0.036,South Jamaica,35181,36448.0,37760.0,39119.0,40527.0,41986.0,43498.0,45064.0,46686.0,48367.0,50108.0
QN02,Queens,0.036,Springfield Gardens North,25441,26357.0,27306.0,28289.0,29307.0,30362.0,31455.0,32588.0,33761.0,34976.0,36235.0
QN03,Queens,0.036,Springfield Gardens South-Brookville,18950,19632.0,20339.0,21071.0,21830.0,22616.0,23430.0,24273.0,25147.0,26052.0,26990.0
QN05,Queens,0.036,Rosedale,25502,26420.0,27371.0,28357.0,29377.0,30435.0,31531.0,32666.0,33842.0,35060.0,36322.0
QN06,Queens,0.036,Jamaica Estates-Holliswood,26061,26999.0,27971.0,28978.0,30021.0,31102.0,32222.0,33382.0,34584.0,35829.0,37118.0
QN07,Queens,0.036,Hollis,20747,21494.0,22268.0,23069.0,23900.0,24760.0,25652.0,26575.0,27532.0,28523.0,29550.0
QN08,Queens,0.036,St. Albans,50046,51848.0,53714.0,55648.0,57651.0,59727.0,61877.0,64104.0,66412.0,68803.0,71280.0
QN10,Queens,0.036,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,26711,27673.0,28669.0,29701.0,30770.0,31878.0,33025.0,34214.0,35446.0,36722.0,38044.0
QN12,Queens,0.036,Hammels-Arverne-Edgemere,31645,32784.0,33964.0,35187.0,36454.0,37766.0,39126.0,40534.0,41994.0,43505.0,45072.0
QN15,Queens,0.036,Far Rockaway-Bayswater,48344,50084.0,51887.0,53755.0,55691.0,57695.0,59772.0,61924.0,64154.0,66463.0,68856.0
QN17,Queens,0.036,Forest Hills,85046,88108.0,91280.0,94566.0,97970.0,101497.0,105151.0,108936.0,112858.0,116921.0,121130.0
QN18,Queens,0.036,Rego Park,29404,30463.0,31559.0,32695.0,33872.0,35092.0,36355.0,37664.0,39020.0,40424.0,41880.0
QN19,Queens,0.036,Glendale,31071,32190.0,33348.0,34549.0,35793.0,37081.0,38416.0,39799.0,41232.0,42716.0,44254.0
QN20,Queens,0.036,Ridgewood,69455,71955.0,74546.0,77229.0,80010.0,82890.0,85874.0,88966.0,92168.0,95486.0,98924.0
QN21,Queens,0.036,Middle Village,37629,38984.0,40387.0,41841.0,43347.0,44908.0,46524.0,48199.0,49935.0,51732.0,53595.0
QN22,Queens,0.036,Flushing,69362,71859.0,74446.0,77126.0,79903.0,82779.0,85759.0,88846.0,92045.0,95358.0,98791.0
QN23,Queens,0.036,College Point,21407,22178.0,22976.0,23803.0,24660.0,25548.0,26468.0,27420.0,28408.0,29430.0,30490.0
QN25,Queens,0.036,Corona,52082,53957.0,55899.0,57912.0,59997.0,62156.0,64394.0,66712.0,69114.0,71602.0,74180.0
QN26,Queens,0.036,North Corona,47156,48854.0,50612.0,52434.0,54322.0,56278.0,58304.0,60403.0,62577.0,64830.0,67164.0
QN27,Queens,0.036,East Elmhurst,21183,21946.0,22736.0,23554.0,24402.0,25281.0,26191.0,27133.0,28110.0,29122.0,30171.0
QN28,Queens,0.036,Jackson Heights,113327,117407.0,121633.0,126012.0,130549.0,135248.0,140117.0,145162.0,150387.0,155801.0,161410.0
QN29,Queens,0.036,Elmhurst,87972,91139.0,94420.0,97819.0,101341.0,104989.0,108768.0,112684.0,116741.0,120943.0,125297.0
QN30,Queens,0.036,Maspeth,28916,29957.0,31035.0,32153.0,33310.0,34509.0,35752.0,37039.0,38372.0,39754.0,41185.0
QN31,Queens,0.036,Hunters Point-Sunnyside-West Maspeth,61947,64177.0,66487.0,68881.0,71361.0,73930.0,76591.0,79348.0,82205.0,85164.0,88230.0
QN33,Queens,0.036,Cambria Heights,20944,21698.0,22479.0,23288.0,24127.0,24995.0,25895.0,26827.0,27793.0,28794.0,29830.0
QN34,Queens,0.036,Queens Village,57704,59781.0,61933.0,64163.0,66473.0,68866.0,71345.0,73914.0,76574.0,79331.0,82187.0
QN35,Queens,0.036,Briarwood-Jamaica Hills,38675,40067.0,41510.0,43004.0,44552.0,46156.0,47818.0,49539.0,51323.0,53170.0,55084.0
QN37,Queens,0.036,Kew Gardens Hills,36052,37350.0,38694.0,40087.0,41531.0,43026.0,44575.0,46179.0,47842.0,49564.0,51348.0
QN38,Queens,0.036,Pomonok-Flushing Heights-Hillcrest,31734,32876.0,34060.0,35286.0,36556.0,37872.0,39236.0,40648.0,42112.0,43628.0,45198.0
QN41,Queens,0.036,Fresh Meadows-Utopia,17373,17998.0,18646.0,19318.0,20013.0,20734.0,21480.0,22253.0,23054.0,23884.0,24744.0
QN42,Queens,0.036,Oakland Gardens,27873,28876.0,29916.0,30993.0,32109.0,33265.0,34462.0,35703.0,36988.0,38320.0,39699.0
QN43,Queens,0.036,Bellerose,24464,25345.0,26257.0,27202.0,28182.0,29196.0,30247.0,31336.0,32464.0,33633.0,34844.0
QN44,Queens,0.036,Glen Oaks-Floral Park-New Hyde Park,22426,23233.0,24070.0,24936.0,25834.0,26764.0,27727.0,28726.0,29760.0,30831.0,31941.0
QN45,Queens,0.036,Douglas Manor-Douglaston-Little Neck,24356,25233.0,26141.0,27082.0,28057.0,29067.0,30114.0,31198.0,32321.0,33484.0,34690.0
QN46,Queens,0.036,Bayside-Bayside Hills,44371,45968.0,47623.0,49338.0,51114.0,52954.0,54860.0,56835.0,58881.0,61001.0,63197.0
QN47,Queens,0.036,Ft. Totten-Bay Terrace-Clearview,22731,23549.0,24397.0,25275.0,26185.0,27128.0,28105.0,29116.0,30165.0,31250.0,32375.0
QN48,Queens,0.036,Auburndale,20201,20928.0,21682.0,22462.0,23271.0,24109.0,24976.0,25876.0,26807.0,27772.0,28772.0
QN49,Queens,0.036,Whitestone,31356,32485.0,33654.0,34866.0,36121.0,37421.0,38769.0,40164.0,41610.0,43108.0,44660.0
QN50,Queens,0.036,Elmhurst-Maspeth,24338,25214.0,26122.0,27062.0,28037.0,29046.0,30091.0,31175.0,32297.0,33460.0,34664.0
QN51,Queens,0.036,Murray Hill,53009,54917.0,56894.0,58943.0,61064.0,63263.0,65540.0,67900.0,70344.0,72876.0,75500.0
QN52,Queens,0.036,East Flushing,26516,27471.0,28460.0,29484.0,30545.0,31645.0,32784.0,33965.0,35187.0,36454.0,37766.0
QN53,Queens,0.036,Woodhaven,54149,56098.0,58118.0,60210.0,62378.0,64623.0,66950.0,69360.0,71857.0,74444.0,77124.0
QN54,Queens,0.036,Richmond Hill,62985,65252.0,67602.0,70035.0,72556.0,75169.0,77875.0,80678.0,83582.0,86591.0,89709.0
QN55,Queens,0.036,South Ozone Park,78906,81747.0,84689.0,87738.0,90897.0,94169.0,97559.0,101071.0,104710.0,108480.0,112385.0
QN56,Queens,0.036,Ozone Park,21052,21810.0,22595.0,23408.0,24251.0,25124.0,26029.0,26966.0,27936.0,28942.0,29984.0
QN57,Queens,0.036,Lindenwood-Howard Beach,28121,29133.0,30182.0,31269.0,32394.0,33561.0,34769.0,36020.0,37317.0,38661.0,40052.0
QN60,Queens,0.036,Kew Gardens,23888,24748.0,25639.0,26562.0,27518.0,28509.0,29535.0,30598.0,31700.0,32841.0,34023.0
QN61,Queens,0.036,Jamaica,51849,53716.0,55649.0,57653.0,59728.0,61878.0,64106.0,66414.0,68805.0,71282.0,73848.0
QN62,Queens,0.036,Queensboro Hill,19309,20004.0,20724.0,21470.0,22243.0,23044.0,23874.0,24733.0,25623.0,26546.0,27502.0
QN63,Queens,0.036,Woodside,43846,45424.0,47060.0,48754.0,50509.0,52327.0,54211.0,56163.0,58185.0,60279.0,62449.0
QN66,Queens,0.036,Laurelton,26375,27324.0,28308.0,29327.0,30383.0,31477.0,32610.0,33784.0,35000.0,36260.0,37566.0
QN68,Queens,0.036,Queensbridge-Ravenswood-Long Island City,21104,21864.0,22651.0,23466.0,24311.0,25186.0,26093.0,27032.0,28005.0,29014.0,30058.0
QN70,Queens,0.036,Astoria,89122,92330.0,95654.0,99098.0,102665.0,106361.0,110190.0,114157.0,118267.0,122524.0,126935.0
QN71,Queens,0.036,Old Astoria,28847,29885.0,30961.0,32076.0,33231.0,34427.0,35666.0,36950.0,38281.0,39659.0,41086.0
QN72,Queens,0.036,Steinway,53604,55534.0,57533.0,59604.0,61750.0,63973.0,66276.0,68662.0,71134.0,73694.0,76347.0
QN76,Queens,0.036,Baisley Park,35729,37015.0,38348.0,39728.0,41159.0,42640.0,44175.0,45766.0,47413.0,49120.0,50888.0
QN98,Queens,0.036,Airport,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN99,Queens,0.036,park-cemetery-etc-Queens,1785,1849.0,1916.0,1985.0,2056.0,2130.0,2207.0,2286.0,2369.0,2454.0,2542.0
SI01,Staten Island,0.039,Annadale-Huguenot-Prince's Bay-Eltingville,26376,27405.0,28473.0,29584.0,30738.0,31936.0,33182.0,34476.0,35821.0,37218.0,38669.0
SI05,Staten Island,0.039,New Springville-Bloomfield-Travis,39309,40842.0,42435.0,44090.0,45809.0,47596.0,49452.0,51381.0,53385.0,55467.0,57630.0
SI07,Staten Island,0.039,Westerleigh,23790,24718.0,25682.0,26683.0,27724.0,28805.0,29929.0,31096.0,32309.0,33569.0,34878.0
SI08,Staten Island,0.039,Grymes Hill-Clifton-Fox Hills,19834,20608.0,21411.0,22246.0,23114.0,24015.0,24952.0,25925.0,26936.0,27987.0,29078.0
SI11,Staten Island,0.039,Charleston-Richmond Valley-Tottenville,18332,19047.0,19790.0,20562.0,21363.0,22197.0,23062.0,23962.0,24896.0,25867.0,26876.0
SI12,Staten Island,0.039,Mariner's Harbor-Arlington-Port Ivory-Graniteville,27957,29047.0,30180.0,31357.0,32580.0,33851.0,35171.0,36543.0,37968.0,39449.0,40987.0
SI14,Staten Island,0.039,Grasmere-Arrochar-Ft. Wadsworth,15238,15832.0,16450.0,17091.0,17758.0,18450.0,19170.0,19918.0,20694.0,21501.0,22340.0
SI22,Staten Island,0.039,West New Brighton-New Brighton-St. George,32154,33408.0,34711.0,36065.0,37471.0,38933.0,40451.0,42028.0,43668.0,45371.0,47140.0
SI24,Staten Island,0.039,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,30762,31962.0,33208.0,34503.0,35849.0,37247.0,38700.0,40209.0,41777.0,43406.0,45099.0
SI25,Staten Island,0.039,Oakwood-Oakwood Beach,22266,23134.0,24037.0,24974.0,25948.0,26960.0,28011.0,29104.0,30239.0,31418.0,32644.0
SI28,Staten Island,0.039,Port Richmond,18042,18746.0,19477.0,20236.0,21026.0,21846.0,22697.0,23583.0,24502.0,25458.0,26451.0
SI32,Staten Island,0.039,Rossville-Woodrow,18894,19631.0,20396.0,21192.0,22018.0,22877.0,23769.0,24696.0,25660.0,26660.0,27700.0
SI35,Staten Island,0.039,New Brighton-Silver Lake,16784,17439.0,18119.0,18825.0,19559.0,20322.0,21115.0,21938.0,22794.0,23683.0,24607.0
SI36,Staten Island,0.039,Old Town-Dongan Hills-South Beach,23017,23915.0,24847.0,25816.0,26823.0,27869.0,28956.0,30086.0,31259.0,32478.0,33745.0
SI37,Staten Island,0.039,Stapleton-Rosebank,24048,24986.0,25960.0,26973.0,28025.0,29118.0,30253.0,31433.0,32659.0,33933.0,35256.0
SI45,Staten Island,0.039,New Dorp-Midland Beach,20242,21031.0,21852.0,22704.0,23589.0,24509.0,25465.0,26458.0,27490.0,28562.0,29676.0
SI48,Staten Island,0.039,Arden Heights,24996,25971.0,26984.0,28036.0,29129.0,30266.0,31446.0,32672.0,33946.0,35270.0,36646.0
SI54,Staten Island,0.039,Great Kills,41680,43306.0,44994.0,46749.0,48572.0,50467.0,52435.0,54480.0,56605.0,58812.0,61106.0
SI99,Staten Island,0.039,park-cemetery-etc-Staten Island,7,7.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0
BX01,Bronx,0.045,Claremont-Bathgate,31078,32477.0,33938.0,35465.0,37061.0,38729.0,40472.0,42293.0,44196.0,46185.0,48263.0
BX03,Bronx,0.045,Eastchester-Edenwald-Baychester,34517,36070.0,37693.0,39390.0,41162.0,43014.0,44950.0,46973.0,49087.0,51296.0,53604.0
BX05,Bronx,0.045,Bedford Park-Fordham North,54415,56864.0,59423.0,62097.0,64891.0,67811.0,70862.0,74051.0,77384.0,80866.0,84505.0
BX06,Bronx,0.045,Belmont,27378,28610.0,29897.0,31243.0,32649.0,34118.0,35653.0,37258.0,38934.0,40686.0,42517.0
BX07,Bronx,0.045,Bronxdale,35538,37137.0,38808.0,40555.0,42380.0,44287.0,46280.0,48362.0,50539.0,52813.0,55189.0
BX08,Bronx,0.045,West Farms-Bronx River,35011,36586.0,38233.0,39953.0,41751.0,43630.0,45593.0,47645.0,49789.0,52030.0,54371.0
BX09,Bronx,0.045,Soundview-Castle Hill-Clason Point-Harding Park,53686,56102.0,58626.0,61265.0,64022.0,66903.0,69913.0,73059.0,76347.0,79783.0,83373.0
BX10,Bronx,0.045,Pelham Bay-Country Club-City Island,26583,27779.0,29029.0,30336.0,31701.0,33127.0,34618.0,36176.0,37804.0,39505.0,41283.0
BX13,Bronx,0.045,Co-Op City,43752,45721.0,47778.0,49928.0,52175.0,54523.0,56976.0,59540.0,62220.0,65020.0,67946.0
BX14,Bronx,0.045,East Concourse-Concourse Village,62284,65087.0,68016.0,71076.0,74275.0,77617.0,81110.0,84760.0,88574.0,92560.0,96725.0
BX17,Bronx,0.045,East Tremont,43423,45377.0,47419.0,49553.0,51783.0,54113.0,56548.0,59093.0,61752.0,64531.0,67435.0
BX22,Bronx,0.045,North Riverdale-Fieldston-Riverdale,27860,29114.0,30424.0,31793.0,33224.0,34719.0,36281.0,37914.0,39620.0,41403.0,43266.0
BX26,Bronx,0.045,Highbridge,37727,39425.0,41199.0,43053.0,44990.0,47015.0,49130.0,51341.0,53652.0,56066.0,58589.0
BX27,Bronx,0.045,Hunts Point,27204,28428.0,29707.0,31044.0,32441.0,33901.0,35427.0,37021.0,38687.0,40428.0,42247.0
BX28,Bronx,0.045,Van Cortlandt Village,50100,52354.0,54710.0,57172.0,59745.0,62434.0,65243.0,68179.0,71247.0,74453.0,77804.0
BX29,Bronx,0.045,Spuyten Duyvil-Kingsbridge,30161,31518.0,32937.0,34419.0,35968.0,37586.0,39277.0,41045.0,42892.0,44822.0,46839.0
BX30,Bronx,0.045,Kingsbridge Heights,32496,33958.0,35486.0,37083.0,38752.0,40496.0,42318.0,44223.0,46213.0,48292.0,50465.0
BX31,Bronx,0.045,Allerton-Pelham Gardens,28903,30204.0,31563.0,32983.0,34467.0,36018.0,37639.0,39333.0,41103.0,42953.0,44885.0
BX33,Bronx,0.045,Longwood,26196,27375.0,28607.0,29894.0,31239.0,32645.0,34114.0,35649.0,37253.0,38930.0,40682.0
BX34,Bronx,0.045,Melrose South-Mott Haven North,39214,40979.0,42823.0,44750.0,46763.0,48868.0,51067.0,53365.0,55766.0,58276.0,60898.0
BX35,Bronx,0.045,Morrisania-Melrose,37865,39569.0,41350.0,43210.0,45155.0,47187.0,49310.0,51529.0,53848.0,56271.0,58803.0
BX36,Bronx,0.045,University Heights-Morris Heights,54188,56626.0,59175.0,61838.0,64620.0,67528.0,70567.0,73742.0,77061.0,80529.0,84152.0
BX37,Bronx,0.045,Van Nest-Morris Park-Westchester Square,29250,30566.0,31942.0,33379.0,34881.0,36451.0,38091.0,39805.0,41596.0,43468.0,45424.0
BX39,Bronx,0.045,Mott Haven-Port Morris,52413,54772.0,57236.0,59812.0,62503.0,65316.0,68255.0,71327.0,74537.0,77891.0,81396.0
BX40,Bronx,0.045,Fordham South,28262,29534.0,30863.0,32252.0,33703.0,35220.0,36804.0,38461.0,40191.0,42000.0,43890.0
BX41,Bronx,0.045,Mount Hope,51807,54138.0,56575.0,59120.0,61781.0,64561.0,67466.0,70502.0,73675.0,76990.0,80455.0
BX43,Bronx,0.045,Norwood,40494,42316.0,44220.0,46210.0,48290.0,50463.0,52734.0,55107.0,57587.0,60178.0,62886.0
BX44,Bronx,0.045,Williamsbridge-Olinville,61321,64080.0,66964.0,69977.0,73126.0,76417.0,79856.0,83449.0,87205.0,91129.0,95230.0
BX46,Bronx,0.045,Parkchester,29821,31163.0,32565.0,34031.0,35562.0,37162.0,38835.0,40582.0,42408.0,44317.0,46311.0
BX49,Bronx,0.045,Pelham Parkway,30073,31426.0,32840.0,34318.0,35863.0,37476.0,39163.0,40925.0,42767.0,44691.0,46702.0
BX52,Bronx,0.045,Schuylerville-Throgs Neck-Edgewater Park,44167,46155.0,48231.0,50402.0,52670.0,55040.0,57517.0,60105.0,62810.0,65636.0,68590.0
BX55,Bronx,0.045,Soundview-Bruckner,35634,37238.0,38913.0,40664.0,42494.0,44406.0,46405.0,48493.0,50675.0,52956.0,55339.0
BX59,Bronx,0.045,Westchester-Unionport,27248,28474.0,29755.0,31094.0,32494.0,33956.0,35484.0,37081.0,38749.0,40493.0,42315.0
BX62,Bronx,0.045,Woodlawn-Wakefield,42483,44395.0,46392.0,48480.0,50662.0,52942.0,55324.0,57813.0,60415.0,63134.0,65975.0
BX63,Bronx,0.045,West Concourse,39282,41050.0,42897.0,44827.0,46845.0,48953.0,51155.0,53457.0,55863.0,58377.0,61004.0
BX75,Bronx,0.045,Crotona Park East,20277,21189.0,22143.0,23139.0,24181.0,25269.0,26406.0,27594.0,28836.0,30134.0,31490.0
BX98,Bronx,0.045,Rikers Island,11091,11590.0,12112.0,12657.0,13226.0,13821.0,14443.0,15093.0,15773.0,16482.0,17224.0
BX99,Bronx,0.045,park-cemetery-etc-Bronx,1906,1992.0,2081.0,2175.0,2273.0,2375.0,2482.0,2594.0,2711.0,2832.0,2960.0
BK09,Brooklyn,0.037,Brooklyn Heights-Cobble Hill,22887,23734.0,24612.0,25523.0,26467.0,27446.0,28462.0,29515.0,30607.0,31739.0,32914.0
BK17,Brooklyn,0.037,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,64518,66905.0,69381.0,71948.0,74610.0,77370.0,80233.0,83202.0,86280.0,89473.0,92783.0
BK19,Brooklyn,0.037,Brighton Beach,35547,36862.0,38226.0,39641.0,41107.0,42628.0,44205.0,45841.0,47537.0,49296.0,51120.0
BK21,Brooklyn,0.037,Seagate-Coney Island,31965,33148.0,34374.0,35646.0,36965.0,38333.0,39751.0,41222.0,42747.0,44329.0,45969.0
BK23,Brooklyn,0.037,West Brighton,17750,18407.0,19088.0,19794.0,20526.0,21286.0,22073.0,22890.0,23737.0,24615.0,25526.0
BK25,Brooklyn,0.037,Homecrest,44316,45956.0,47656.0,49419.0,51248.0,53144.0,55110.0,57149.0,59264.0,61457.0,63731.0
BK26,Brooklyn,0.037,Gravesend,29436,30525.0,31655.0,32826.0,34040.0,35300.0,36606.0,37960.0,39365.0,40821.0,42332.0
BK27,Brooklyn,0.037,Bath Beach,29931,31038.0,32187.0,33378.0,34613.0,35893.0,37221.0,38599.0,40027.0,41508.0,43044.0
BK28,Brooklyn,0.037,Bensonhurst West,88727,92010.0,95414.0,98945.0,102606.0,106402.0,110339.0,114421.0,118655.0,123045.0,127598.0
BK29,Brooklyn,0.037,Bensonhurst East,62978,65308.0,67725.0,70230.0,72829.0,75524.0,78318.0,81216.0,84221.0,87337.0,90568.0
BK30,Brooklyn,0.037,Dyker Heights,42419,43989.0,45616.0,47304.0,49054.0,50869.0,52751.0,54703.0,56727.0,58826.0,61003.0
BK31,Brooklyn,0.037,Bay Ridge,79371,82308.0,85353.0,88511.0,91786.0,95182.0,98704.0,102356.0,106143.0,110070.0,114143.0
BK32,Brooklyn,0.037,Sunset Park West,54041,56041.0,58114.0,60264.0,62494.0,64806.0,67204.0,69691.0,72269.0,74943.0,77716.0
BK33,Brooklyn,0.037,Carroll Gardens-Columbia Street-Red Hook,38353,39772.0,41244.0,42770.0,44352.0,45993.0,47695.0,49460.0,51290.0,53187.0,55155.0
BK34,Brooklyn,0.037,Sunset Park East,72340,75017.0,77792.0,80671.0,83655.0,86751.0,89960.0,93289.0,96741.0,100320.0,104032.0
BK35,Brooklyn,0.037,Stuyvesant Heights,63504,65854.0,68290.0,70817.0,73437.0,76154.0,78972.0,81894.0,84924.0,88066.0,91325.0
BK37,Brooklyn,0.037,Park Slope-Gowanus,67649,70152.0,72748.0,75439.0,78231.0,81125.0,84127.0,87239.0,90467.0,93815.0,97286.0
BK38,Brooklyn,0.037,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,34495,35771.0,37095.0,38467.0,39891.0,41367.0,42897.0,44484.0,46130.0,47837.0,49607.0
BK40,Brooklyn,0.037,Windsor Terrace,20988,21765.0,22570.0,23405.0,24271.0,25169.0,26100.0,27066.0,28067.0,29106.0,30183.0
