NTACode,Borough,Growth Factor,NTA Name,Population - 2010,Population - 2011,Population - 2012,Population - 2013,Population - 2014,Population - 2015,Population - 2016,Population - 2017,Population - 2018,Population - 2019,Population - 2020
QN27,Queens,0.036,East Elmhurst,23150,23983.0,24847.0,25741.0,26668.0,27628.0,28623.0,29653.0,30721.0,31826.0,32972.0
QN28,Queens,0.036,Jackson Heights,108152,112045.0,116079.0,120258.0,124587.0,129072.0,133719.0,138533.0,143520.0,148687.0,154040.0
QN29,Queens,0.036,Elmhurst,88427,91610.0,94908.0,98325.0,101865.0,105532.0,109331.0,113267.0,117345.0,121569.0,125945.0
QN30,Queens,0.036,Maspeth,30516,31615.0,32753.0,33932.0,35153.0,36419.0,37730.0,39088.0,40495.0,41953.0,43464.0
QN31,Queens,0.036,Hunters Point-Sunnyside-West Maspeth,63271,65549.0,67909.0,70353.0,72886.0,75510.0,78228.0,81044.0,83962.0,86985.0,90116.0
QN33,Queens,0.036,Cambria Heights,18677,19349.0,20046.0,20768.0,21515.0,22290.0,23092.0,23924.0,24785.0,25677.0,26601.0
QN34,Queens,0.036,Queens Village,52504,54394.0,56352.0,58381.0,60483.0,62660.0,64916.0,67253.0,69674.0,72182.0,74781.0
QN35,Queens,0.036,Briarwood-Jamaica Hills,39138,40547.0,42007.0,43519.0,45086.0,46709.0,48390.0,50132.0,51937.0,53807.0,55744.0
QN37,Queens,0.036,Kew Gardens Hills,37479,38828.0,40226.0,41674.0,43174.0,44729.0,46339.0,48007.0,49735.0,51526.0,53381.0
QN38,Queens,0.036,Pomonok-Flushing Heights-Hillcrest,34034,35259.0,36529.0,37844.0,39206.0,40617.0,42080.0,43594.0,45164.0,46790.0,48474.0
QN41,Queens,0.036,Fresh Meadows-Utopia,17812,18453.0,19118.0,19806.0,20519.0,21257.0,22023.0,22816.0,23637.0,24488.0,25369.0
QN42,Queens,0.036,Oakland Gardens,28237,29254.0,30307.0,31398.0,32528.0,33699.0,34912.0,36169.0,37471.0,38820.0,40218.0
QN43,Queens,0.036,Bellerose,25287,26197.0,27140.0,28117.0,29130.0,30178.0,31265.0,32390.0,33556.0,34764.0,36016.0
QN44,Queens,0.036,Glen Oaks-Floral Park-New Hyde Park,22571,23384.0,24225.0,25097.0,26001.0,26937.0,27907.0,28911.0,29952.0,31030.0,32148.0
QN45,Queens,0.036,Douglas Manor-Douglaston-Little Neck,24739,25630.0,26552.0,27508.0,28498.0,29524.0,30587.0,31688.0,32829.0,34011.0,35235.0
QN46,Queens,0.036,Bayside-Bayside Hills,43808,45385.0,47019.0,48712.0,50465.0,52282.0,54164.0,56114.0,58134.0,60227.0,62395.0
QN47,Queens,0.036,Ft. Totten-Bay Terrace-Clearview,21751,22534.0,23345.0,24186.0,25056.0,25958.0,26893.0,27861.0,28864.0,29903.0,30980.0
QN48,Queens,0.036,Auburndale,19996,20716.0,21462.0,22234.0,23035.0,23864.0,24723.0,25613.0,26535.0,27490.0,28480.0
QN49,Queens,0.036,Whitestone,30773,31881.0,33029.0,34218.0,35449.0,36726.0,38048.0,39417.0,40836.0,42307.0,43830.0
QN50,Queens,0.036,Elmhurst-Maspeth,25521,26440.0,27392.0,28378.0,29399.0,30458.0,31554.0,32690.0,33867.0,35086.0,36349.0
QN51,Queens,0.036,Murray Hill,51739,53602.0,55531.0,57530.0,59601.0,61747.0,63970.0,66273.0,68659.0,71130.0,73691.0
QN52,Queens,0.036,East Flushing,26982,27953.0,28960.0,30002.0,31082.0,32201.0,33361.0,34561.0,35806.0,37095.0,38430.0
